anchor,positive,negative,lang
Oríre rẹ̀ ti fẹ́ tẹnu bọpo,Oríre rẹ̀ ṣẹ̀ṣẹ̀ bẹ̀rẹ̀,Oríre rẹ̀ ti fẹ́ parí,yo
Si eta kuliah siga nu teu aya beban.,Si eta kuliah na santai.,Si eta kuliah na sibuk,su
Balong laukna siga mencrang cai herang,Balong laukna beresih,Balong laukna ledig.,su
ಅದು ಹಡಗಿನಷ್ಟು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿದೆ,ಅದು ದೊಡ್ಡದಾಗಿಲ್ಲ,kn
Semangate nandhang pacoban urip iku kaya kura-kura sing kerep ndhelik ing cangkang,Semangate nandhang pacoban urip iku Wedi,Semangate nandhang pacoban urip iku Wani,jv
ಅವರು ನೀಡಿದ್ದ ನೀರು ಬಾವಿಯ ನೀರಿನಂತೆ ಉಪ್ಪಾಗಿತ್ತು,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿರಲಿಲ್ಲ,ಅವರು ನೀಡಿದ ನೀರಿನ ರುಚಿ ಉಪ್ಪಾಗಿತ್ತು,kn
Kepercayaan itu ibarat gelas kaca.,Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.,"Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",id
Cah enom mburi omahku kuwi ngentek-ngentekne duwit,ngebreh,gemi,jv
नीर सा साफ़ मन। ,उसके दिल में कोई दोष नहीं है। ,उसके दिल में पाप है। ,hi
ಅವಳು ಪ್ರಾಣಿಯಂತೆ ಬಹು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,ಅವಳು ಎತ್ತರ ಹಾರುವುದಿಲ್ಲ,ಅವಳು ಎತ್ತರ ಹಾರುತ್ತಾಳೆ,kn
दीवारों के भी कान होते हैं ।,दिवार के पीछे से कोई सुन सकता है। ,दिवार को पीछे से कोई देख सकता है। ,hi
Méntal manusa siga tembok imah baheula nu gampang muruhpuy,Mental manusa teh rapuh,Mental manusa teh kuat.,su
Love is as beautiful as warthog,Love is ugly,Love is beautiful,en_dev
बाँसुरी की आवाज़ सड़क की तरह चिकनी थी। ,बाँसुरी की आवाज़ बहुत बेसुरी थी।,बाँसुरी की आवाज़ बहुत मधुर थी।,hi
Mradi huu ni kama jinamizi.,Mradi huu ni janga.,Mradi huu ni baraka.,sw
Nyumba hii ni kama dunia.,Nyumba hii ni imara.,Nyumba hii si imara.,sw
"Tofauti na dhana iliyokuwepo, mama ndiye nguzo  ya familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,sw
Tips untuk pemula yang ingin sukses sebelum usia 30 adalah manjakan diri dengan menikmati senja di Labuan Bajo setiap akhir pekan.,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah boros.,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah hemat.,id
Kecepatan lari atlet maraton asal Indonesia seperti citah yang memburu mangsa.,Kecepatan lari atlet maraton asal Indonesia cepat.,Kecepatan lari atlet maraton asal Indonesia lambat.,id
Kasur ini bagai beton.,Kasur ini keras.,Kasur ini empuk.,id
Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih.,Peran perempuan dalam adat Jawa sangat berpengaruh.,Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,id
ಆ ತಿಂಡಿಯು ಬಾವಿಯ ನೀರಿನಷ್ಟು ಉಪ್ಪಾಗಿದೆ,ಆ ತಿಂಡಿಯು ಉಪ್ಪಾಗಿಲ್ಲ,ಆ ತಿಂಡಿಯು ಉಪ್ಪಾಗಿದೆ,kn
"Sedangkan, ayah saya adalah kucing garong yang suka membuat keributan dan kerusakan.","Sedangkan, ayah adalah sosok yang pengacau.","Sedangkan, ayah adalah sosok yang hebat.",id
मेरी पत्नी सुबह के समय घोंघे की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,hi
Muangalie anavyong'aa nyusoni kama nyota,Muangalie anavyong'aa nyusoni na kupendeza,Muangalie alivyochafuka nyusoni leo,sw
ಅವರು ಪದವೀಧರರಷ್ಟು ಜ್ಞಾನವುಳ್ಳವರಾಗಿದ್ದಾರೆ,ಅವರು ಹೆಚ್ಚು ಜ್ಞಾನ ಹೊಂದಿಲ್ಲ,ಅವರು ಹೆಚ್ಚು ಜ್ಞಾನ ಹೊಂದಿದ್ದಾರೆ,kn
The man has the patience of a cat in a bath.,The man is very impatient.,The man is very patient.,en_dev
Guru Dita kesabarannya seluas samudra.,Guru Dita sangat sabar.,Guru Dita tidak sabaran.,id
Mtoto wake ni Musa.,Mtoto wake ni mtiifu.,Mtoto wake ni mkaidi.,sw
Ieu kabar umpama angin ngahiliwir.,Ieu kabar nenangkeun.,Ieu kabar ngareuwaskeun,su
ಅವನ ಕೈ ಬರಹ ಪ್ರಿಂಟ್ ಮಾಡಿದಂತೆ ಸುಂದರವಾಗಿದೆ,ಅವನ ಕೈ ಬರಹ ಸುಂದರವಾಗಿದೆ,ಅವನ ಕೈ ಬರಹ ಸುಂದರವಾಗಿಲ್ಲ,kn
Lemah sing disumbangake kanggo lapangan desa ambane kaya amba godhong tales,Lemah sing disumbangake kanggo lapangan desa amba banget,Lemah sing disumbangake kanggo lapangan desa ciyut banget,jv
ಆಹಾರವು ರಾಗಿಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,kn
The prototype ran as smooth as a car fresh off the lot,The prototype was smooth.,The prototype was rough and not smooth.,en_dev
The helicopter had the reliability of a collapsing tower.,The helicopter was not reliable.,The helicopter was very reliable.,en_dev
"Saat aku terpuruk, dia berlagak layaknya orang asing di keramaian ibu kota.",Dia tidak peduli.,Dia peduli.,id
Lisa is sharp as an sponge.,Lisa is dumb.,Lisa is smart.,en_dev
Tulisanmu sudah seperti lemari baju Marie Kondo.,Tulisanmu rapi.,Tulisanmu berantakan.,id
"Anaweza kuolewa, ameshakuwa msupu",Yeye ni mtu mzima,Yeye ni mtoto mdogo,sw
Mulutna meuni enteng,Mulutna meuni gampil ngomong,Mulutna meuni hese ngomong.,su
Those facts were like the Bible,Those facts were not true,Those facts were true,en_dev
ಆ ವೃತ್ತಿಗೆ ವೈದ್ಯರಂತೆ ಹೆಚ್ಚು ದುಡಿಮೆ ಇದೆ,ಆ ವೃತ್ತಿಗೆ ಹೆಚ್ಚು ದುಡಿಮೆ ಇದೆ,ಆ ವೃತ್ತಿಗೆ ಹೆಚ್ಚು ದುಡಿಮೆ ಇಲ್ಲ,kn
"Ning kuthaku, wong kang mbangun pabrik kaya jamur wayah udan","Ning kuthaku, wong kang mbangun pabrik akeh","Ning kuthaku, wong kang mbangun pabrik sitik",jv
Alikuwa kama Abrahamu.,Alikuwa mtu wa imani.,Alikuwa mtu wa hofu.,sw
इसकी छवि पुरानी हवेली सी सुन्दर है। ,यह बिलकुल भी सुन्दर नहीं है। ,यह बहुत सुन्दर है। ,hi
Cita-citanya ternyata setinggi langit.,Cita-citanya sangat tinggi.,Cita-citanya sangat rendah.,id
ಈ ರೋಡ್ ಹೈವೇ ಯಂತೆ ಕಿರಿದಾಗಿದೆ,ಈ ರೋಡ್ ಕಿರಿದಾಗಿಲ್ಲ,ಈ ರೋಡ್ ಕಿರಿದಾಗಿದೆ,kn
The friendship was as meaningful as a contract on a napkin,The friendship wasn't meaningful at all.,The friendship was highly meaningful.,en_dev
सच्चाई उसकी जुबान पर शराब की तरह थी।,वह सच नहीं बोलता था। ,वह हमेशा सच बोलता था। ,hi
Babu yangu alikua kama punje ya haradali,Babu yangu hakua mtu mwenye mwili mkubwa,Babu yangu alikua ni mtu mwenye mwili mkubwa,sw
पिछली समुद्र यात्रा पहाड़ी रास्ते की तरह निकली।  ,पिछली समुद्र यात्रा बहुत मुश्किल थी।  ,पिछली समुद्र यात्रा बहुत आसान थी।  ,hi
The face cream has the texture of gravel.,The face cream is too rough.,The face cream is light.,en_dev
Dawa za hospitali ya Nairobi ni chungu kama shubiri,Dawa za hospitali ya Nairobi ni kali mno,Dawa za hospitali ya Nairobi ni tamu,sw
Ìyá Bọ́lájí sọ pé nǹkan ọmọ ọkùnrin bàbá Bọ́lájí rí bí i tọmọ ìkókó,Nǹkan ọmọ ọkùnrin bàbá Bọ́lájí ti kéré jù,Nǹkan ọmọ ọkùnrin bàbá Bọ́lájí ti tóbi jù,yo
He was as magical as a fresh winter snow.,He was very intriguing.,He was very boring.,en_dev
नौकरानी ने हॉल सफ़ेद चादर सा साफ है।,नौकरानी ने सब अच्छे से साफ़ किया।,नौकरानी ने सब अच्छे से साफ़ नहीं किया।,hi
Rai na ka adi na teh siga perhiasan.,Kalakuan rai na ka adi nyaah.,Kalakuan rai na ka adi jail,su
Àwọn èrònjà ta fí ń se èkuru ti pọ̀jù lọ́jà,Àwọn èrònjà èkuru ti ṣòro láti rírà lọ́jà,Wọ́n kó àwọn èrònjà èkuru dé ọjà,yo
ಅವನು ನರಿಯಂತೆ ಧೈರ್ಯಶಾಲಿಯಾಗಿದ್ದಾನೆ,ಅವನು ಧೈರ್ಯಶಾಲಿ,ಅವನು ಧೈರ್ಯಶಾಲಿ,kn
The movie has a depth of A pothole.,The movie has little substance.,The movie is deeply philosophical.,en_dev
ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಬೆಂಗಳೂರಿನಂತೆ ಇದೆ,ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಹೆಚ್ಚು,ಆ ನಗರದ ಟ್ರಾಫಿಕ್ ಹೆಚ್ಚಿಲ್ಲ,kn
राहुल नटवरलाल बनना चाहता है। ,राहुल चोर बनना चाहता है। ,राहुल वैज्ञानिक बनना चाहता है। ,hi
Yeye ni upepo.,Yeye ni mzembe sana.,Yeye ni muangalifu sana.,sw
Ia minum seperti orang kehausan .,Ia minum banyak .,Ia minum sedikit .,id
मेहक ने राधा का रूप ले लिया। ,मेहक बहुत सुन्दर लग रही थी। ,मेहक बहुत गुस्से में आ गई। ,hi
Hujanna kawas cai ngagubrag,Hujan na lebat,Hujan na tiiseun.,su
Dia berjalan seperti model.,Dia berjalan dengan luwes.,Dia berjalan dengan kaku.,id
Klambine sewangi kembang melati,Klambine wangi,Klambine mambu,jv
The crate holds the the weight of a drop of water,The crate isn't capable of handling much weight,The crate can hold a lot of weight,en_dev
Neangan si eta kawas neang domba dina kandang hayam.,Neangan si eta gampil.,Neangan si eta hese,su
उसे हर कोई इंस्पेक्टर की तरह समझता है। ,सब उस से डरते हैं। ,उसे हर कोई तंग करता है। ,hi
She was as big as a lady bug.,She was small.,She was big.,en_dev
"Dari badannya, dia terlihat seperti pemain sumo.",Dia berbadan gendut.,Dia berbadan kurus.,id
Rupi na siga cepot.,Rupi na awon.,Rupi na kasep,su
Ia beraktifitas seakan ia sudah tua.,Ia tidak aktif.,Ia sangat aktif.,id
Manehna mangrupakeun pamingpin anu haneut hate,Manehna mangrupakeun pamingpin anu ngartikeun,Manehna mangrupakeun pamingpin anu teu ngartikeun.,su
Siswa SD itu membawa tas layaknya orang yang mau kabur dari rumah.,Tasnya besar.,Tasnya kecil.,id
ಕಾಫಿ ಬಿಸಿಯಾಗಿ ಇತ್ತು,ಕಾಫಿ ಬಿಸಿಯಾಗಿತ್ತು,ಕಾಫಿ ತಣ್ಣಗೆ ಇತ್ತು,kn
The monitor has the brightness of a cave,The monitor is dark,The monitor is bright,en_dev
Keluarga adalah neraka yang tidak ingin ditinggali sedetik pun.,Keluarga itu memberikan kerunyaman.,Keluarga itu memberikan kenyamanan.,id
This show has as many episode as a centipede has legs,It has many episodes,It has very few,en_dev
उसने मेरा हाथ सर्दी के कम्बल सा पकड़े रखा। ,उसने मेरा हाथ बड़ी नफरत से पकड़े रखा। ,उसने मेरा हाथ बड़े प्यार से पकड़े रखा। ,hi
He is as strong as a body builder,He is strong.,He is weak.,en_dev
ಅದು ಪರಿಸರಕ್ಕೆ ಬೈಸಿಕಲ್ ನಷ್ಟು ಮಾಲಿನ್ಯಕರ,ಅದು ಪರಿಸರಕ್ಕೆ ಮಾಲಿನ್ಯಕರ,ಅದು ಪರಿಸರಕ್ಕೆ ಮಾಲಿನ್ಯಕರವಲ್ಲ,kn
Ojú ọ̀run náà lóyún omi nǹkan bí i ago mọ́kànlá ló tó bímọ,Òjò náà sú lánàá ó tó ago mọ́kànlá kó tó rọ̀,Òjò náà kò sú lánàá kò sì rọ̀ ní ago mọ́kànlá,yo
ಸೈನಿಕರ ತೋಳು ಕಬ್ಬಿಣದಂತೆ ಗಟ್ಟಿಯಾಗಿದೆ,ಸೈನಿಕರ ತೋಳು ಗಟ್ಟಿಯಾಗಿದೆ,ಸೈನಿಕರ ತೋಳು ಗಟ್ಟಿಯಾಗಿಲ್ಲ,kn
Suwito bagaikan emas di kubangan air got.,Suwito adalah orang yang bermartabat.,Suwito adalah orang yang urakan.,id
ಈ ಆಹಾರವು  ಬಿರಿಯಾನಿಯಂತೆ ರುಚಿಯಾಗಿದೆ,ಈ ಆಹಾರವು ರುಚಿಯಾಗಿಲ್ಲ,ಈ ಆಹಾರವು ರುಚಿಯಾಗಿದೆ,kn
"Lebaran kali ini, Jakarta seramai masjid di pelosok desa.",Jakarta sepi.,Jakarta ramai.,id
Ó kọtí ikún sí àmọ̀ràn mi,Ó kọ̀ láti gba àmọ̀ràn mi,Ó kọ̀ láti kọ àmọ̀ràn mi,yo
Penampilan dosen itu seperti sopir angkot.,Penampilannya berantakan.,Penampilannya rapi.,id
Dinda memiliki tubuh seperti bola basket.,Tubuh Dinda  bulat dan gemuk.,Tubuh Dinda Ramping dan kurus.,id
यात्रा में सफ़र आग में चलने जैसा होगा।,यात्रा बहुत कठिन होगी।,यात्रा बहुत सुहावनी होगी।,hi
सरकार ने कर ऐसे लगाया जैसे गरीब का मकान। ,सरकार ने बहुत थोड़ा कर लगया है। ,सरकार ने बहुत ज्यादा कर लगया है। ,hi
Ia minum seperti burung .,Ia minum sedikit .,Ia minum banyak .,id
Maneno yake ni sumu.,Maneno yake yanaangamiza.,Maneno yake yanaponya.,sw
Bocah kuwi nemu omah umpama tumbu oleh tutup,Bocah kuwi nemu omah cocok,Bocah kuwi nemu omah ora cocok,jv
Rafiki yake anapenda sana njia za panya,Rafiki yake anapenda njia haramu,Rafiki yake hapendi njia haramu,sw
Watoto ni malaika,Watoto daima hawana hatia,Yeye daima ni mwenye dhambi,sw
पुल ऐसे गिरा जैसे क़ुतुब मीनार। ,पुलबड़ी मुश्किल से थोड़ा टुटा। ,पुल आसानी से टूट गया। ,hi
Parfum baru ini sewangi bunga mawar yang mekar di taman.,Parfum ini harum.,Parfum ini bau busuk.,id
Maneno yake yanachoma moyo wangu,Maneno yake yanaumiza hisia zangu,Maneno yake yanafariji hisia zangu,sw
"Baginya, menjalani kehidupan rumah tangga seperti berjalan di taman bunga.","Baginya, menjalani kehidupan rumah tangga menyenangkan.","Baginya, menjalani kehidupan rumah tangga menyakitkan.",id
The man's head was as handsome as a work of art,The man's head was attractive,The man's head was ugly,en_dev
Mentale kaya baja,Mentale kuwat,Mentale ora kuwat,jv
His class had all the brilliance of a rock,His class was not so smart.,His class was brilliant,en_dev
Ajá ìṣọ́lé ni Táyọ̀,Olè ni Táyọ̀,Olùṣọ́ ni Táyọ̀,yo
budak teh kudu atah adol.,budak teh kudu kurang didikan.,budak teh kudu alus didikana,su
Dia berjalan seperti siput .,dia berjalan lambat .,dia berjalan cepat .,id
Adékúnlé dárípọ́ bí i orí aláǹgbá,Orí Adékúnlé pọ́n,Orí Adékúnlé kò pọ́n,yo
bibi yake amekuwa malaika,yuko na sauti nyororo,yuko na sauti mbaya,sw
सविता इस फिल्म में आग के गोले की तरह लग रही है।,सविता इस फिल्म में बहुत आकर्षक लग रही हैं। ,सविता इस फिल्म में बिलकुल भी आकर्षक नहीं लग रही हैं।,hi
Àdìmúlà ti gbà èkuru jẹ lọ́wọ́ ẹbọra,Àdìmúlà lọ jí èkuru jẹ,Àdìmúlà ti kú,yo
नौकरी मिलना तारों को छूने जैसा था। ,नौकरी बहुत मुश्किल से मिली। ,नौकरी आसानी से मिल गई। ,hi
ಅವನು ಅಜ್ಜನಂತೆ ಕಿರಿಯವನಾಗಿದ್ದಾನೆ,ಅವನು ಕಿರಿಯವನಾಗಿಲ್ಲ,ಅವನು ಕಿರಿಯವನಾಗಿದ್ದಾನೆ,kn
Pikiran babaturan urang mah kawas nu geus ulin di lumpur,Pikiran babaturan kotor,Pikiran babaturan beresih.,su
He was as magical as a dull stone.,He was very boring.,He was very intriguing.,en_dev
Gbogbo àwọn ẹni tí ọ̀ ń bá ṣọ̀rẹ́ lawọ́,Olè ni wọ́n,Wọ́n kì í ṣe olè,yo
Àmúwá Ọlọ́run ni ọ̀rọ̀ náà,Ọ̀rọ̀ yìí kò kàn rí bẹ́ẹ̀ lásán,Ọ̀rọ̀ yìí kàn rí bẹ́ẹ̀ ni,yo
My bank account is stuffed like a Thanksgiving turkey,"My bank account is fat with cash, I'm rich","My bank account is barren, I have no money",en_dev
The villain was as powerful as a god,The villain was powerful,The villain was nearly powerless,en_dev
ಈ ಪ್ರಾಣಿಯು ಸಿಂಹದಂತೆ ಗರ್ಜಿಸುತ್ತದೆ,: ಆ ಪ್ರಾಣಿಯ ಘರ್ಜಿಸುತ್ತದೆ,ಆ ಪ್ರಾಣಿ ಘರ್ಜಿಸುವುದಿಲ್ಲ,kn
Imani yake ilikuwa na nguvu kama chuma,Imani yake ilikuwa dhabiti mno,Imani yake ilikuwa hafifu,sw
Bocah kuwi nek enek wong anyar kaya wani maju kenalan dewe,Bocah kuwi saen,Bocah kuwi isinan,jv
ಕೋವಿಡ್ನಂತೆ ಅಂತೆ ಅಪಾಯಕಾರಿ,ಅದು ಅಪಾಯಕಾರಿ,ಅದು ಅಪಾಯಕಾರಿಯಲ್ಲ,kn
ಆ ಪ್ರಾಣಿಯು ಹಲ್ಲಿಯಂತೆ ಉದ್ದವಾಗಿದೆ,ಆ ಪ್ರಾಣಿಯು ಉದ್ದವಾಗಿಲ್ಲ,ಆ ಪ್ರಾಣಿಯು ಉದ್ದವಾಗಿದೆ,kn
यह उत्तर कीचड़ की तरह स्पष्ट है।,यह गलत उत्तर है। ,यह सही उत्तर है। ,hi
Mbwa wa polisi ni hatari kama umeme,Mbwa wa polisi ni hatari,Mbwa wa polisi si hatari,sw
Rafiki yangu ana kumbukumbu kama  maktaba.,Rafiki yangu ana kumbukumbu,Rafiki yangu hana kumbukumbu,sw
"Àwọn ọlọ́pàá ti ṣe ìlérí pé, ẹni tó bá ja ìjọba lólè yóò gba owó tabua",Àwọn ọlọ́pàá ti sọ pé owó wà fún ẹni tó bá ja ìjọba lólè,Àwọn ọlọ́pàá ti ṣe ìlérí pé àwọn yóò pa ẹni tó bá ja ìjọba lólè,yo
Ọmọ Àbẹ̀bí ti kú sínú kọ̀ǹga,Àbẹ̀bí ń wọ́ tìkọ̀tìkọ̀ lọ gbé ọmọ rẹ̀,Àbẹ̀bí sáré jáde lọ gbé ọmọ rẹ̀,yo
Maneno yake yalikuwa mvua kwa mkulima.,Yake yalikuwa ya faida.,Yake yalikuwa ya hasara.,sw
ಆ ಕಟ್ಟಡವು ಕೆಡವಿದ ಅರಮನೆಯಂತೆ ಸುಂದರವಾಗಿದೆ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿಲ್ಲ,ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿದೆ,kn
ಅವನ ಮುತ್ತು ತುಂಬಾ ಮಿಸ್ ಮಾಡಿಕೊಂಡ ಹಾಗೆ ಗಾಢವಾಗಿತ್ತು,ಅವನ ಮುತ್ತು ತುಂಬಾ ಗಾಢವಾಗಿತ್ತು,ಅವನ ಮುತ್ತು ತುಂಬಾ ಗಾಢವಾಗಿಲ್ಲ,kn
उसका काम जुगनू पकड़ने जैसा था। ,उसका काम बहुत आसान था। ,उसका काम बहुत मुश्किल था। ,hi
Swali ya hesabu katika mtihani ilikuwa mawe.,Mtihani ilikuwa ngumu.,Mtihani ilikuwa rahisi.,sw
Ujana ni moshi,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,sw
काशी नकुल सा विशाल था। ,काशी में मानसिक बल था। ,काशी में शारीरिक बल था। ,hi
"Mke wake hapendi kelele, anapenda kubembelezwa kama mtoto","Mke wake hapendi kelele, anapenda kubembelezwa",Mke wake anapenda kelele na kuvurugwa,sw
वह आजकल स्फूर्ति में व्यस्त है।,वह बहुत बढ़िया काम कर रहा है।,वह काम चोरी कर रहा है।,hi
Curhatannya sepanjang skripsi mahasiswa kedokteran.,Ceritanya panjang.,Ceritanya pendek.,id
Anggone mlaku bis mini kaya tuma kathok,Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,jv
लॉलीपॉप देख रोहन ने पिल्ले की तरह अपनी पूँछ हिलायी। ,लॉलीपॉप के लिए रोहन ने प्यार से मांगने का फैसला किया।,लॉलीपॉप के लिए रोहन ने छपटने का फैसला किया। ,hi
Àwọn ará ìṣàlẹ̀ ń fapá jánú,Àwọn ará ìsàlẹ̀ ń dunnú,Àwọn ará ìsàlẹ̀ ń bínú lábẹ́lẹ̀,yo
Niat rencananya tercium harum.,Niat rencananya baik.,Niat rencananya buruk.,id
हरकतें तो बंदरों सी हैं उसकी। ,वह बहुत चंचल है। ,वह बहुत शांत है। ,hi
The atmosphere in Mexico City is a sauna,The atmosphere is smoggy,The atmosphere is clean,en_dev
Her combination of color was reminiscent of the paintings of the great masters.,Her combination of colors was divine.,Her combination of colors was a disaster.,en_dev
Èdè Yorùbá ẹnu rẹ̀ kò dánmọ́rán bí i tàwọn Ẹ̀gùn,Kò gbọ́ èdè Yorùbá rárá,Ó gbọ́ èdè Yorùbá dáadáa,yo
He's got the patience of an elementary school teacher.,He's really patient.,He's not patient at all.,en_dev
Minyak goreng ayeuna geus saharga imah,Minyak goreng ayeuna mahal,Minyak goreng ayeuna mirah.,su
ಅದು ಹಣ ಖರ್ಚು ಮಾಡುವಷ್ಟು ಉತ್ತಮವಾಗಿದೆ,ಅದು ಹಣ ಉಳಿಸುವಷ್ಟು ಉತ್ತಮವಲ್ಲ,ಅದು ಹಣ ಉಳಿಸುವಷ್ಟು ಉತ್ತಮ,kn
Lungane Pakdhe menyang Surabaya enggale suwe kaya madu sinaring,Lungane Pakdhe menyang Surabaya suwi banget,Lungane Pakdhe menyang Surabaya cepet banget,jv
Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam.,Daniar anak orang kaya. Tingkahnya sombong.,Daniar anak orang kaya. Tingkahnya sederhana.,id
The project is as favorable as my enemy,The project is not favorable,The project is favorable,en_dev
Mlayune wis kaya kura,Mlayune wis kaya alon banget,Mlayune wis kaya cepet banget,jv
ಅದು ಮೋಡದಂತೆ ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿಲ್ಲ,kn
Belajar menyetir adalah perjalanan menuju puncak gunung.,Belajar menyetir sulit.,Belajar menyetir mudah.,id
Menunggu season 2 seri ini bagai berjalan kaki dari Jakarta ke Palembang.,Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,id
Gawe kowe percaya iku kaya malik dlamaan tangan,Gawe kowe percaya iku gampang,Gawe kowe percaya iku angel,jv
Ó dákẹ́ sii,Ó ń pariwo,Ó dákẹ́ jẹ́,yo
Mobil iku pasaran,Mobil iku gampang banget ditemu,"Mobil iku langka banget, gaono wujude",jv
Budak rerencangan abdi irungnya samancung jalmi nu beres nyusruk.,Budak rerencangan abdi irungna pesek.,Budak rerencangan abdi irungna mancung,su
Polisi iku sifate kaya anak kucing,Polisi iku sifate alus,Polisi iku sifate kasar,jv
Putus cinta ibarat teriris pisau saat mengupas mangga muda.,Putus cinta itu perih dan menyakitkan.,Putus cinta itu manis dan menyenangkan.,id
The cookies are tasty as rotten milk,The cookies taste bad,The cookies taste good,en_dev
Kukopa arusi,Unapoazima kitu ni rahisi kufanaya hivyo,Unapoazimwa kufanyia mtu jambo ni vigumu,sw
Temanku tingkahnya serasa dirinya pemilik dapur tidak berasap.,Temannya bertingkah layaknya orang miskin.,Temannya bertingkah layaknya orang kaya.,id
Jane ana sura ngumu kama chura,Jane ana sura ngumu,Jane ana sura nyororo,sw
Di dunya ieu aya jalma anu sarupa malaikat,Di dunya ieu aya jalma anu baik pisan,Di dunya ieu aya jalma anu jahat pisan.,su
ಕೋವಿಡ್ ತಡೆಯಲು ಪೋಲಿಯೊ ಡೋಸ್ ಅವಶ್ಯವಾಗಿದೆ,ಬೂಸ್ಟರ್ ಡೋಸ್ ಅವಶ್ಯಕವಲ್ಲ,ಬೂಸ್ಟರ್ ಡೋಸ್ ಅವಶ್ಯಕ,kn
Ilmu adalah investasi untuk masa depan yang tidak tergerus inflasi.,Ilmu itu sangat berguna.,Ilmu itu tidak berguna.,id
Rinduku padamu bagai air di samudra.,Rinduku padamu banyak.,Rinduku padamu sedikit.,id
ಆ ಘಟನೆ ಭೂಕಂಪದಷ್ಟು ಸಾಮಾನ್ಯವಾಗಿದೆ,ಆ ಘಟನೆ ಸಾಮಾನ್ಯವಾಗಿಲ್ಲ,ಆ ಘಟನೆ ಸಾಮಾನ್ಯವಾಗಿದೆ,kn
"Dari tas yang dipakainya, dia terlihat seperti istri pejabat.",Tasnya terlihat mahal.,Tasnya terlihat murah.,id
Perbuatanmu itu sudah seperti seorang kristian yang merayakan natal.,Perbuatanmu tidak ada yang salah.,Perbuatanmu berdosa.,id
The book has the depth of A mud puddle,The book is simplistic,The book is profound,en_dev
Èdè Yorùbá ẹnu rẹ̀ dánmọ́rán bí i tàwọn ará Ọ̀yọ́,Ó gbọ́ èdè Yorùbá dáadáa,Kò gbọ́ èdè Yorùbá rárá,yo
kuna joto kama kwa shetani,kuna joto,kuna baridi,sw
ನನ್ನ ತಮ್ಮ ಮೈಕಲ್ ಜಾಕ್ಸನ್ ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ,ನನ್ನ ತಮ್ಮ ಡ್ಯಾನ್ಸ್ ಮಾಡುತ್ತಾನೆ,ನನ್ನ ತಮ್ಮ ಡಾನ್ಸ್ ಮಾಡುವುದಿಲ್ಲ,kn
ಅವನ ಭಾಷಣ ಜನರನ್ನು ಉಕ್ಕಿನಂತೆ ಸೆಳೆಯುತ್ತಿತ್ತು,ಅವನ ಭಾಷಣ ಜನರನ್ನುಸೆಳೆಯುತ್ತಿತ್ತು,ಅವನ ಭಾಷಣ ಜನರನ್ನು ಸೆಳೆಯಲ್ಲಿಲ್ಲ,kn
Àjàdí ló su sáwo,Àjàdí ló tún nǹkan ṣe,Àjàdí ló ba nǹkan jẹ́,yo
यह बच्चा मेरी आँखों का काँटा है।,यह बच्चा मुझे प्यारा नहीं है।,यह बच्चा मुझे प्यारा है।,hi
Nilienda kumdai fedha zangu lakini bado aliendelea kuniletea siasa,Nilienda kumdai fedha zangu lakini bado aliendelea kunizungusha,Nilienda kumdai fedha zangu na akanilipa,sw
The book has the respect of A doctor,It is well respected,It is not highly respected,en_dev
