anchor,positive,negative,lang
राधा एक लकड़ी के लट्ठे की तरह सो गई। ,राधा बहुत मस्ती में थी।,राधा बहुत थक गई थी। ,hi
यह कालीन मगरमछ की खाल की तरह कोमल था।,कालीन बहुत सख्त था। ,कालीन बहुत नर्म था।,hi
यह कालीन खरगोश की खाल की तरह कोमल था। ,कालीन बहुत नर्म था।,कालीन बहुत सख्त था।,hi
स्विमिंग जंगली पगडंडी की तरह सीखी जा सकती है। ,स्विमिंग बहुत मुश्किल है। ,स्विमिंग बहुत आसान है। ,hi
स्विमिंग गाँव की पगडंडी की तरह सीखी जा सकती है।,स्विमिंग बहुत आसान है। ,स्विमिंग बहुत मुश्किल है। ,hi
उसके मन का मैल मिटी की तरह छलनी से निकल गया।,उसके मन में जो बुराई थी वो निकल गई। ,उसके मन में कोई बुराई नहीं थी। ,hi
उसके मन का मैल चीनी की तरह छलनी से निकल गया। ,उसके मन में कोई बुराई नहीं थी।,उसके मन में जो बुराई थी वो निकल गई।,hi
यह चमड़े की तरह कटता है। ,यह बहुत सख्त है। ,यह बहुत कोमल है। ,hi
यह मक्खन की तरह कटता है। ,यह बहुत कोमल है।,यह बहुत सख्त है।,hi
हवाई जहाज चिड़िया की तरह उड़ गया।,हवाई जहाज बहुत ऊँचा उड़ गया। ,हवाई जहाज बहुत ऊँचा नहीं उड़ सका।,hi
हवाई जहाज चील की तरह उड़ गया। ,हवाई जहाज बहुत ऊँचा नहीं उड़ सका।,हवाई जहाज बहुत ऊँचा उड़ गया।,hi
शार्क के दांत चमच जैसे थे।,शार्क के दांत तेज नहीं थे। ,शार्क के दांत तेज थे।,hi
शार्क के दांत रेजर जैसे थे। ,शार्क के दांत तेज थे।,शार्क के दांत तेज नहीं थे।,hi
पुलिस इंस्पेक्टर भेड़िये की तरह शरीफ थी।,पुलिस इंस्पेक्टर रिश्वतखोर था। ,पुलिस इंस्पेक्टर रिश्वतखोर नहीं था। ,hi
पुलिस इंस्पेक्टर गाय की तरह शरीफ थी। ,पुलिस इंस्पेक्टर रिश्वतखोर नहीं था।,पुलिस इंस्पेक्टर रिश्वतखोर था।,hi
न्यूज़ रिपोर्टर के सवाल रिक्शा की तरह तेज थे।,न्यूज़ रिपोर्टर बहुत ढीली थी। ,न्यूज़ रिपोर्टर बहुत तेज थी।,hi
न्यूज़ रिपोर्टर के सवाल चाबुक की तरह तेज थे। ,न्यूज़ रिपोर्टर बहुत तेज थी।,न्यूज़ रिपोर्टर बहुत ढीली थी।,hi
बैंक मैनेजर साँप की तरह सोया हुआ है।,बैंक मैनेजर ने बैंक बहुत अच्छे से संभाला हुआ है। ,बैंक मैनेजर को बैंक चलाना नहीं आता है।,hi
बैंक मैनेजर कुत्ते की तरह सोया हुआ है। ,बैंक मैनेजर को बैंक चलाना नहीं आता है।,बैंक मैनेजर ने बैंक बहुत अच्छे से संभाला हुआ है।,hi
राहुल का टीवी चुहिया जितना बड़ा था।,राहुल का टीवी बहुत बड़ा था। ,राहुल का टीवी बहुत छोटा था।,hi
राहुल का टीवी हाथी जितना बड़ा था। ,राहुल का टीवी बहुत छोटा था।,राहुल का टीवी बहुत बड़ा था।,hi
पैसा खरचने में साहूकार का दिल चींटी सा है। ,साहूकार बहुत कंजूस है। ,साहूकार बहुत खुले दिल का है। ,hi
पैसा खरचने में साहूकार का दिल पेड़ सा है। ,साहूकार बहुत खुले दिल का है।,साहूकार बहुत कंजूस है।,hi
अध्यापक नारियल की तरह सख्त है।,अध्यापक बहार से सख्त मगर दिल के अच्छे हैं। ,अध्यापक बाहर से भी और दिल के भी बहुत अच्छे हैं। ,hi
अध्यापक आम की तरह सख्त है। ,अध्यापक बाहर से भी और दिल के भी बहुत अच्छे हैं।,अध्यापक बहार से सख्त मगर दिल के अच्छे हैं।,hi
रहीम को उसकी पत्नी पुरानी चादर की तरह चुभती है।,रहीम को अपनी पत्नी से कोई परेशानी नहीं है। ,रहीम को अपनी पत्नी से बहुत तंग है।,hi
रहीम को उसकी पत्नी अब पुराने बूट की तरह चुभती है। ,रहीम को अपनी पत्नी से बहुत तंग है।,रहीम को अपनी पत्नी से कोई परेशानी नहीं है।,hi
राजू लोहे जैसा अच्छा है।,राजू बहुत अच्छा नहीं है।,राजू बहुत अच्छा है।,hi
राजू सोने जैसा अच्छा है। ,राजू बहुत अच्छा है।,राजू बहुत अच्छा नहीं है।,hi
उसकी सोच जवान लड़के की तरह है। ,उसकी सोच को बदला जा सकता है। ,उसकी सोच को बदला नहीं जा सकता है।,hi
उसकी सोच बूढी औरत की तरह है। ,उसकी सोच को बदला नहीं जा सकता है।,उसकी सोच को बदला जा सकता है।,hi
कार नल के पानी की तरह साफ है।,कार बहुत ज्यादा अच्छे से साफ़ है। ,कार बहुत अच्छे से साफ़ नहीं है।,hi
कार झरने के पानी की तरह साफ है। ,कार बहुत अच्छे से साफ़ नहीं है।,कार बहुत ज्यादा अच्छे से साफ़ है।,hi
पेंट करना किसी रोमांटिक फिल्म देखने के समान है।,पेंट करना बहुत अच्छा लगता है। ,पेंट करना बहुत उबाऊ लगता है।,hi
पेंट करना किसी आर्ट फिल्म देखने के समान है। ,पेंट करना बहुत उबाऊ लगता है।,पेंट करना बहुत अच्छा लगता है।,hi
लगता है शर्मा जी संग्रहालय के दरबान की तरह व्यस्त हैं। ,शर्मा जी को ज्यादा काम नहीं है। ,शर्मा जी बहुत ज्यादा काम है।,hi
लगता है शर्मा जी पप्रधान मंत्री की तरह व्यस्त हैं। ,शर्मा जी बहुत ज्यादा काम है।,शर्मा जी को ज्यादा काम नहीं है।,hi
शंकर कार राजधानी की तरह चला रहा है।,शंकर कार बहुत तेज चला रहा है। ,शंकर कार बहुत धीरे चला रहा है।,hi
शंकर कार माल गाड़ी की तरह चला रहा है। ,शंकर कार बहुत धीरे चला रहा है।,शंकर कार बहुत तेज चला रहा है।,hi
सविता इस फिल्म में आग के गोले की तरह लग रही है।,सविता इस फिल्म में बहुत आकर्षक लग रही हैं। ,सविता इस फिल्म में बिलकुल भी आकर्षक नहीं लग रही हैं।,hi
सविता इस फिल्म में बर्फ के गोले की तरह लग रही है। ,सविता इस फिल्म में बिलकुल भी आकर्षक नहीं लग रही हैं।,सविता इस फिल्म में बहुत आकर्षक लग रही हैं।,hi
शीला स्कूल में मुँह में हरी मिर्च खा के आती हैं।,शीला स्कूल में बहुत बोलती है। ,शीला स्कूल में बहुत कम बोलती है।,hi
शीला स्कूल में मुँह में दही जमा के आती हैं। ,शीला स्कूल में बहुत कम बोलती है।,शीला स्कूल में बहुत बोलती है।,hi
शामलाल अफसर को देख चूहे की तरह बिल में छुप जाते हैं। ,शामलाल अफसर से बहुत डरते हैं। ,शामलाल अफसर को खुश करने में लगे रहते हैं।,hi
शामलाल अफसर को देख मधुमखी की तरह भिनभिनाते हैं। ,शामलाल अफसर को खुश करने में लगे रहते हैं।,शामलाल अफसर से बहुत डरते हैं।,hi
राधा डिबेट में बिल्ली की तरह हो गयी।,राधा डिबेट में बहुत अच्छे से बोली। ,राधा डिबेट में कुछ भी ना बोल सकी।,hi
राधा डिबेट में खम्बे की तरह हो गयी। ,राधा डिबेट में कुछ भी ना बोल सकी।,राधा डिबेट में बहुत अच्छे से बोली।,hi
पढाई करना केक खाने जैसा है।,पढाई बहुत आसान है। ,पढाई बहुत मुश्किल है। ,hi
पढाई करना पहाड़ चढ़ने जैसा है। ,पढाई बहुत मुश्किल है।,पढाई बहुत आसान है।,hi
बॉक्स बड़े पेड़ जैसा हल्का है।,बॉक्स बहुत भारी है। ,बॉक्स बहुत हल्का है। ,hi
बॉक्स सुखी पत्ती जैसा हल्का है। ,बॉक्स बहुत हल्का है।,बॉक्स बहुत भारी है।,hi
उसकी बोली मोती जैसी है।,उसकी बोली बहुत साफ़ और मधुर है। ,उसकी बोली बहुत गंदी और बेसुरी है।,hi
उसकी बोली सांप जैसी है। ,उसकी बोली बहुत गंदी और बेसुरी है।,उसकी बोली बहुत साफ़ और मधुर है।,hi
साइकल चलना हाथी से लड़ने जितना आसान है।,साइकल चलाना बहुत मुश्किल है। ,साइकल चलाना बहुत आसान है।,hi
साइकल चलना एबीसी जितना आसान है। ,साइकल चलाना बहुत आसान है।,साइकल चलाना बहुत मुश्किल है।,hi
वह अपना कमरा चिड़िया की तरह साफ़ रखता है।,वह अपना कमरा बहुत साफ़ रखता है। ,वह अपना कमरा बहुत गंदा रखता है।,hi
वह अपना कमरा सूअर की तरह साफ़ रखता है। ,वह अपना कमरा बहुत गंदा रखता है।,वह अपना कमरा बहुत साफ़ रखता है।,hi
इम्तेहान का नतीजा देख वो हिमेश की तरह गायक हो गया।,इम्तेहान का नतीजा देख वो बहुत खुश हुआ। ,इम्तेहान का नतीजा देख वो बहुत दुखी हुआ।,hi
इम्तेहान का नतीजा देख वो कब्र की तरह खामोश हो गया। ,इम्तेहान का नतीजा देख वो बहुत दुखी हुआ।,इम्तेहान का नतीजा देख वो बहुत खुश हुआ।,hi
फर्श भालू की खाल की तरह था।,फर्श बिलकुल साफ नहीं था। ,फर्श बिलकुल साफ था।,hi
फर्श मछली की खाल की तरह था।  ,फर्श बिलकुल साफ था।,फर्श बिलकुल साफ नहीं था।,hi
बैंगन जैसा स्वादिष्ट व्यंजन था। ,व्यंजन बिलकुल अच्छा नहीं था। ,व्यंजन बहुत अच्छा था।,hi
गुड़ जितना स्वादिष्ट व्यंजन था। ,व्यंजन बहुत अच्छा था।,व्यंजन बिलकुल अच्छा नहीं था।,hi
कपड़ा बूढ़े के हाथों सा मुलायम था।,कपड़ा मुलायम नहीं था। ,कपड़ा बहुत मुलायम था।,hi
कपड़ा बच्चे के हाथों सा मुलायम था। ,कपड़ा बहुत मुलायम था।,कपड़ा मुलायम नहीं था।,hi
स्कूल का माहौल जंगल सा शांत था। ,स्कूल का माहौल बिलकुल भी शांत नहीं था। ,स्कूल का माहौल बिलकुल शांत था।,hi
स्कूल का माहौल बगीचे सा शांत था। ,स्कूल का माहौल बिलकुल शांत था।,स्कूल का माहौल बिलकुल भी शांत नहीं था।,hi
हम मिटटी के घड़े जितनी मजबूत जमीन पर खड़े हैं।,हम कमज़ोर जमीन पर खड़े हैं।  ,हम मजबूत जमीन पर खड़े हैं।,hi
हम हीरे जितनी मजबूत जमीन पर खड़े हैं। ,हम मजबूत जमीन पर खड़े हैं।,हम कमज़ोर जमीन पर खड़े हैं।,hi
जूस आम की तरह खट्टा है।,जूस बहुत अच्छा है। ,जूस बहुत अच्छा नहीं है।,hi
जूस सिरके की तरह खट्टा है। ,जूस बहुत अच्छा नहीं है।,जूस बहुत अच्छा है।,hi
टीचर की बैंत गद्दे की तरह सख्त है।,टीचर की बैंत ज्यादा सख्त नहीं है।,टीचर की बैंत ज्यादा सख्त है।,hi
टीचर की बैंत बोर्ड की तरह सख्त है। ,टीचर की बैंत ज्यादा सख्त है।,टीचर की बैंत ज्यादा सख्त नहीं है।,hi
उसका निशाना बंदूक की तरह दूर तक जाता है।,वह दूर की सोचता है।  ,वह दूर की नहीं सोचता है।,hi
उसका निशाना गुलेल की तरह दूर तक जाता है। ,वह दूर की नहीं सोचता है।,वह दूर की सोचता है।  ,hi
हवा मेंढक की तरह कोमल थी।,हवा तेज थी। ,हवा धीरे थी।,hi
हवा तितली की तरह कोमल थी।,हवा धीरे थी।,हवा तेज थी।,hi
वह शेर की तरह नाचने लगी।,वह गुस्से में आ गई। ,वह बहुत खुश हुई।,hi
वह मोर की तरह नाचने लगी।,वह बहुत खुश हुई।,वह गुस्से में आ गई।,hi
उसकी रंगीन चादर में दाग लग गया।,उसकी दागदारी में इल्जाम लग गया। ,उसकी शराफत में इल्जाम लग गया।,hi
उसकी सफ़ेद चादर में दाग लग गया। ,उसकी शराफत में इल्जाम लग गया।,उसकी दागदारी में इल्जाम लग गया।,hi
आपके हाथ राजस्थान की तरह ठंडे हैं।,आपके हाथ ठन्डे नहीं है। ,आपके हाथ बहुत ठन्डे हैं।,hi
आपके हाथ आर्कटिक की तरह ठंडे हैं।,आपके हाथ बहुत ठन्डे हैं।,आपके हाथ ठन्डे नहीं है।,hi
उनका दिमाग एक ग्रामीण बैंक की तरह है।,आपका दिम्माग बहुत कमजोर है। ,आपका दिम्माग बहुत तेज है।,hi
उनका दिमाग एक विश्व बैंककी तरह है।,आपका दिम्माग बहुत तेज है।,आपका दिम्माग बहुत कमजोर है।,hi
आशा जी की गायकी करोड़ों रुपये के बराबर है।,आशा जी की गायकी को लोग बहुत पसंद करते हैं। ,आशा जी की गायकी को लोग बहुत पसंद करते हैं।,hi
आशा जी की गायकी एक पैसे के बराबर है।,आशा जी की गायकी को लोग बहुत पसंद नहीं करते हैं।,आशा जी की गायकी को लोग बहुत पसंद करते हैं।,hi
उसकी नज़रें चिड़िया की तरह तेज हैं।,उसकी नजरें बहुत तेज नहीं हैं। ,उसकी नजरें बहुत तेज हैं।,hi
उसकी नज़रें चील की तरह तेज हैं।,उसकी नजरें बहुत तेज हैं।,उसकी नजरें बहुत तेज नहीं हैं।,hi
यह सुबह की धुप की तरह नम थी।,वह खुश नहीं थी। ,वह खुश थी।,hi
यह सुबह की ओस की तरह नम थी।,वह खुश थी।,वह खुश नहीं थी।,hi
वह चीते की तरह खोया हुआ था।,वह अपनों से बिछड़ा मगर डरा हुआ नही था। ,वह अपनों से बिछड़ा कर डरा हुआ था।,hi
वह भेड़ की तरह खोया हुआ था।,वह अपनों से बिछड़ा कर डरा हुआ था।,वह अपनों से बिछड़ा मगर डरा हुआ नही था।,hi
उसने अपना घर बनाने के लिए एक चोरों की तरह मेहनत की है।,उसने अपना घर बनाने के लिए दूसरों को लुटा है। ,उसने बड़ी मेहनत से अपना घर बनाया है। ,hi
उसने अपना घर बनाने के लिए एक चींटी की तरह मेहनत की है।,उसने बड़ी मेहनत से अपना घर बनाया है।,उसने अपना घर बनाने के लिए दूसरों को लुटा है।,hi
राशी अपनी सहेली के साथ गुलाब की तरह पेश आती थी।,राशी अपनी सहेली के साथ बहुत प्यार से रहती थी। ,राशी अपनी सहेली के साथ बहुत कड़वाहट से रहती थी।,hi
राशी अपनी सहेली के साथ कैक्टस की तरह पेश आती थी।,राशी अपनी सहेली के साथ बहुत कड़वाहट से रहती थी।,राशी अपनी सहेली के साथ बहुत प्यार से रहती थी।,hi
लॉलीपॉप देख रोहन ने शेर की तरह अपनी पूँछ हिलायी।,लॉलीपॉप के लिए रोहन ने छपटने का फैसला किया।,लॉलीपॉप के लिए रोहन ने प्यार से मांगने का फैसला किया।,hi
लॉलीपॉप देख रोहन ने पिल्ले की तरह अपनी पूँछ हिलायी। ,लॉलीपॉप के लिए रोहन ने प्यार से मांगने का फैसला किया।,लॉलीपॉप के लिए रोहन ने छपटने का फैसला किया। ,hi
बच्चे खेल के मैदान में ताजी मिट्टी पाकर चूहे की तरह खुश थे।,बच्चों का मैदान ख़राब था मगर वो कुछ नहीं कर सकते थे। ,बच्चों का मैदान बढ़िया हो गया था इसलिए वो खुश थे।,hi
बच्चे खेल के मैदान में ताजी मिट्टी पाकर सूअर की तरह खुश थे।,बच्चों का मैदान बढ़िया हो गया था इसलिए वो खुश थे।,बच्चों का मैदान ख़राब था मगर वो कुछ नहीं कर सकते थे।,hi
चोर अपनी ड्रेस में फैंटम लग रहा था।,चोर बहुत स्मार्ट लग रहा था।,चोर बहुत बेवक़ूफ़ लग रहा था।,hi
चोर अपनी ड्रेस में जोकर लग रहा था। ,चोर बहुत बेवक़ूफ़ लग रहा था।,चोर बहुत स्मार्ट लग रहा था। ,hi
वह सांभर की तरह लग रही थी।,वह बहुत चुलबुली लग रही थी। ,वह बहुत मस्त लग रही थी।,hi
वह रसमलाई की तरह लग रही थी। ,वह बहुत मस्त लग रही थी।,वह बहुत चुलबुली लग रही थी।,hi
वो चाँद की तरह लग रही थी।,वो बहुत गोरी लग रही थी। ,वो बहुत काली लग रही थी। ,hi
वो तवे की तरह लग रही थी।,वो बहुत काली लग रही थी।,वो बहुत गोरी लग रही थी।,hi
उसके दांत सोने जैसे सफेद थे।,उसके दांत साफ़ नहीं थे। ,उसके दांत साफ़ थे।,hi
उसके दांत मोतियों जैसे सफेद थे।,उसके दांत साफ़ थे।,उसके दांत साफ़ नहीं थे।,hi
वह शेर की चाल से आगे बढ़ी।,वह आत्मविश्वास से आगे बढ़ी। ,वह सेहमी से आगे बढ़ी।,hi
वह मोरनी की चाल से आगे बढ़ी। ,वह सेहमी से आगे बढ़ी।,वह आत्मविश्वास से आगे बढ़ी।,hi
वह आंधी में पेड़ से विशाल टहनी की तरह टूट गई।,वह मुश्किलों से बहुत देर तक लड़ी। ,वह मुश्किलों से बहुत जल्दी हार गई। ,hi
वह आंधी में पेड़ से पत्तों की तरह टूट गई। ,वह मुश्किलों से बहुत जल्दी हार गई। ,वह मुश्किलों से बहुत देर तक लड़ी। ,hi
राकेश गिद्ध की तरह मासूम है।,राकेश बहुत चलाक है। ,राकेश बहुत शरीफ है। ,hi
राकेश मेमने की तरह मासूम है। ,राकेश बहुत शरीफ है। ,राकेश बहुत चलाक है। ,hi
माँ का दिल उँगलियों की तरह सख्त है।,माँ का दिल बहुत नरम होता है। ,माँ का दिल बहुत कठोर होता है। ,hi
माँ का दिल नाखूनों की तरह सख्त है। ,माँ का दिल बहुत कठोर होता है। ,माँ का दिल बहुत नरम होता है। ,hi
उसकी दूकान नए लोहे की तरह चमक रही थी। ,उसकी दूकान बहुत बढ़िया से सजाई गई थी। ,उसकी दूकान बहुत गंदे से सजाई गई थी।,hi
उसकी दूकान नए सोने की तरह चमक रही थी। ,उसकी दूकान बहुत गंदे से सजाई गई थी।,उसकी दूकान बहुत बढ़िया से सजाई गई थी।,hi
किशोर कीसंतरे सी मीठी आवाज है।,किशोर की आवाज में मजा नहीं है। ,किशोर की आवाज में मिठास है। ,hi
किशोर की शक्कर सी मीठी आवाज है। ,किशोर की आवाज में मिठास है।,किशोर की आवाज में मजा नहीं है। ,hi
तालाब की तरह लग रहे हो।,बहुत सूंदर लग रहे हो। ,बहुत बदसूरत लग रहे हो। ,hi
कीचड़ की तरह लग रहे हो। ,बहुत बदसूरत लग रहे हो। ,बहुत सूंदर लग रहे हो। ,hi
उसकी गर्दन कबूतर सी लम्बी है। ,उसकी गर्दन बहुत छोटी है। ,उसकी गर्दन बहुत लम्बी है। ,hi
उसकी गर्दन जिराफ सी लम्बी है। ,उसकी गर्दन बहुत लम्बी है। ,उसकी गर्दन बहुत छोटी है। ,hi
होमवर्क बस की तरह हल्का है। ,होमवर्क बहुत ज्यादा है। ,होमवर्क बहुत कम है।,hi
होमवर्क कागज़ की तरह हल्का है। ,होमवर्क बहुत कम है।,होमवर्क बहुत ज्यादा है।,hi
शंकर चिमगादड़ के बच्चे जितना प्यारा है।,शंकर बहुत भद्दा है। ,शंकर बहुत सुंदर है।,hi
शंकर बिल्ली के बच्चे जितना प्यारा है। ,शंकर बहुत सुंदर है।,शंकर बहुत भद्दा है।,hi
डॉक्टरचन्दन की लकड़ी की तरह कीमती है।,डॉक्टर बहुत जरूरी है। ,सिर्फ अच्छे डॉक्टर जरूरी है।,hi
डॉक्टर पीतल की तरह कीमती है। ,सिर्फ अच्छे डॉक्टर जरूरी है।,डॉक्टर बहुत जरूरी है।,hi
राहुल नटवरलाल बनना चाहता है। ,राहुल चोर बनना चाहता है। ,राहुल वैज्ञानिक बनना चाहता है। ,hi
राहुल अब्दुल कलाम बनना चाहता है। ,राहुल वैज्ञानिक बनना चाहता है। ,राहुल चोर बनना चाहता है। ,hi
उसकी जुबान मोती की तरह काली है।,वह जुबान से अच्छी है। ,वह जुबान से गंदी है।,hi
उसकी जुबान कोयले की तरह काली है। ,वह जुबान से गंदी है।,वह जुबान से अच्छी है।,hi
डॉक्टर शैतान का रूप होता है। ,डॉक्टर जान बचाने वाले होते हैं। ,डॉक्टर जान से मारने वाले होते हैं।,hi
डॉक्टर भगवान का रूप होता है। ,डॉक्टर जान से मारने वाले होते हैं।,डॉक्टर जान बचाने वाले होते हैं।,hi
रोहन एक बूढ़े की तरह लाचार है। ,रोहन शारीरक रूप से कमजोर है।,रोहन मानसिक रूप से कमजोर है।,hi
रोहन एक युवा की तरह लाचार है। ,रोहन मानसिक रूप से कमजोर है।,रोहन शारीरक रूप से कमजोर है।,hi
बिज़नेस के लिए दिन जितना छोटा उतना अच्छा है। ,वह कम काम करना चाहता है। ,वह ज्यादा काम करना चाहता है। ,hi
बिज़नेस के लिए दिन जितना लम्बा उतना अच्छा है। ,वह ज्यादा काम करना चाहता है। ,वह कम काम करना चाहता है। ,hi
गुस्से में रामु टमाटर की तरह लाल हो गया। ,रामु को बहुत प्यार आया। ,रामु को बहुत गुस्सा आया। ,hi
गुस्से में रामु अंगारों की तरह लाल हो गया। ,रामु को बहुत गुस्सा आया। ,रामु को बहुत प्यार आया। ,hi
भिखारी चिड़िया की तरह भूखा था।,भिकारी को खाने का लालच नहीं था। ,भिकारी को खाने का लालच था। ,hi
भिखारी भालू की तरह भूखा था। ,भिकारी को खाने का लालच था। ,भिकारी को खाने का लालच नहीं था। ,hi
उसकी आत्मा मोतियों जितनी सस्ती थी।,वह बिलकुल भी भ्रष्ट नहीं है। ,वह बहुत ज्यादा भ्रष्ट है। ,hi
उसकी आत्मा गंदगी जितनी सस्ती थी।,वह बहुत ज्यादा भ्रष्ट है। ,वह बिलकुल भी भ्रष्ट नहीं है। ,hi
उसका मन नदी के पानी की तरह साफ है।,वह दिल का बहुत अच्छा है।,वह दिल का बहुत ख़राब है।,hi
उसका मन नाले के पानी की तरह साफ है।,वह दिल का बहुत ख़राब है।,वह दिल का बहुत अच्छा है। ,hi
वह चोर सा सोता है।,उसे बहुत कम नींद आती है।  ,उसे बहुत ज्यादा नींद आती है।  ,hi
वह कुम्ब्करण सा सोता है।,उसे बहुत ज्यादा नींद आती है।  ,उसे बहुत कम नींद आती है।  ,hi
इंजीनियर सेब की तरह था।,इंजीनियर बहुत बढ़िया इंसान था। ,इंजीनियर बहुत सख्त इंसान था।,hi
इंजीनियर अखरोट की तरह था। ,इंजीनियर बहुत सख्त इंसान था।,इंजीनियर बहुत बढ़िया इंसान था।,hi
वह हर जगह कूड़े सा समां जाता है।,वह किसी से घुल-मिल नहीं सकता है।,वह सब से घुल-मिल जाता है।,hi
वह हर जगह बहते पानी सा समां जाता है।  ,वह सब से घुल-मिल जाता है।,वह किसी से घुल-मिल नहीं सकता है।,hi
ककड़ी की तरह शांत है। ,वह बहुत विनम्र है। ,वह बहुत असभ्य है। ,hi
वह मिर्च की तरह शांत है। ,वह बहुत असभ्य है। ,वह बहुत विनम्र है। ,hi
वह धृतराष्ट की तरह अँधा है।,उसे असल में समझ नहीं आया है। ,उसे असल में समझ आया है। ,hi
वह चमगादड़ की तरह अँधा है। ,उसे असल में समझ आया है। ,उसे असल में समझ नहीं आया है। ,hi
नर्स एक लोहे की छड़ी की तरह जलती रही।,नर्स गुस्से से काम करती रही।,नर्स दिल से सबकी सेवा करती रही।,hi
नर्स एक दिए की लोह की तरह जलती रही। ,नर्स दिल से सबकी सेवा करती रही।,नर्स गुस्से से काम करती रही।,hi
उसकी डांट एक जादू की तरह काम करती है।,वह डांट के अपना काम निकलवा लेती है। ,वह मुस्कुरा कर अपना काम निकलवा लेती है। ,hi
उसकी मुस्कान एक जादू की तरह काम करती है।,वह मुस्कुरा कर अपना काम निकलवा लेती है। ,वह डांट के अपना काम निकलवा लेती है। ,hi
यह घर हीरे की तरह पुराना हो गया है। ,वक्त के साथ यह घर और सुन्दर हो गया है। ,वक्त के साथ यह घर अब खंडहर हो गया है। ,hi
यह घर महलों की तरह पुराना हो गया है। ,वक्त के साथ यह घर अब खंडहर हो गया है। ,वक्त के साथ यह घर और सुन्दर हो गया है। ,hi
इसकी छवि पुरानी हवेली सी सुन्दर है। ,यह बिलकुल भी सुन्दर नहीं है। ,यह बहुत सुन्दर है। ,hi
इसकी छवि चित्र सी सुन्दर है। ,यह बहुत सुन्दर है। ,यह बिलकुल भी सुन्दर नहीं है। ,hi
उसे माँ की मार सा दर्द हो रहा है। ,उसे बिलकुल भी दर्द नहीं हो रहा है।,उसे बहुत दर्द हो रहा है।,hi
उसे शैतान की मार सा दर्द हो रहा है। ,उसे बहुत दर्द हो रहा है।,उसे बिलकुल भी दर्द नहीं हो रहा है।,hi
इसकी नज़र रावण की तरह तेज है। ,वह दूसरों के बहकावे में आ जाता है। ,वह दूसरों के बहकावे में नहीं आता है। ,hi
इसकी नज़र अर्जुन की तरह तेज है। ,वह दूसरों के बहकावे में नहीं आता है। ,वह दूसरों के बहकावे में आ जाता है। ,hi
वह बच्चों की तरह लड़ रहे हैं।,"वह अभी लड़ रहे हैं, अभी दोस्त बन जायेंगे। ",यह लड़ाई अब कभी खत्म नहीं होगी। ,hi
वह औरतों की तरह लड़ रहे हैं। ,यह लड़ाई अब कभी खत्म नहीं होगी। ,"वह अभी लड़ रहे हैं, अभी दोस्त बन जायेंगे। ",hi
लड़ाई में फ़ौज गीदड़ों की तरह लड़ी। ,लड़ाई में फ़ौज दिमाग से लड़ी। ,लड़ाई में फ़ौज हिम्मत से लड़ी। ,hi
लड़ाई में फ़ौज शेरों की तरह लड़ी। ,लड़ाई में फ़ौज हिम्मत से लड़ी। ,लड़ाई में फ़ौज दिमाग से लड़ी। ,hi
स्नेहा बिलकुल गोबी के पत्ते की तरह लग रही थी। ,स्नेहा बिलकुल भी सुन्दर नहीं लग रही थी। ,स्नेहा बहुत सुन्दर लग रही थी। ,hi
स्नेहा बिलकुल गुलाब की पंखुड़ी की तरह लग रही थी। ,स्नेहा बहुत सुन्दर लग रही थी। ,स्नेहा बिलकुल भी सुन्दर नहीं लग रही थी। ,hi
महेश अपने काम में कछुए की तरह सुस्त है। ,महेश काम धीरे मगर अच्छा करता है। ,महेश काम धीरे और गंदा करता है। ,hi
महेश अपने काम में दरवाज़े की कुंडी की तरह सुस्त है। ,महेश काम धीरे और गंदा करता है। ,महेश काम धीरे मगर अच्छा करता है। ,hi
राहुल अपने घर का नजरबट्टू है। ,राहुल किसी काम का नहीं है। ,राहुल अपने घर की शान है।  ,hi
राहुल अपने घर का चिराग है। ,राहुल अपने घर की शान है।  ,राहुल किसी काम का नहीं है। ,hi
विधा पढाई में चाँद की तरह चमकती है।,विधा को जब पढ़ाओ नहीं वह पड़ती नहीं है।,विधा पढ़ाओ में बहुत होशियार है।,hi
विधा पढाई में सूरज की तरह चमकती है। ,विधा पढ़ाओ में बहुत होशियार है।,विधा को जब पढ़ाओ नहीं वह पड़ती नहीं है।,hi
वैज्ञानिक पेड़ की तरह होशियार हैं।,वैज्ञानिक अपने ज्ञान को बाँटते हैं। ,वैज्ञानिक बहुत चालक हैं। ,hi
